"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","habitat","j_sub_region","species","Region","obs_mean","nplots"
"38",0.0193054512616395,0.0424100586269183,4.7684009077451e-05,0.00132785102321265,0.00563555333796694,0.0193314538445525,0.125118159230132,1.00449809787228,4368,0,1,"n_densityk[4,3,1]",4,"3",1,"BBSA","1.1",0,67
"39",0.18785541229707,0.150893145773503,0.0289004377032483,0.0874840167827111,0.148405159323961,0.24124746895862,0.576422572794177,1.0002561568572,13966,0,1,"n_densityk[5,3,1]",5,"3",1,"DUNL","1.1",0.373134328358209,67
"40",0.48059635262856,0.427298402340789,0.0832192858629878,0.222812306882445,0.363138183705544,0.595739972147899,1.56565634461216,1.00231473578516,3840,0,1,"n_densityk[6,3,1]",6,"3",1,"LESA","1.1",0.621890547263682,67
"41",0.060189206963938,0.0796255193908098,0.00144868627553951,0.0137485971663634,0.0341479472066176,0.0755738588203481,0.279823058968484,1.00238698904658,15000,0,1,"n_densityk[7,3,1]",7,"3",1,"PESA","1.1",0,67
"42",0.0124314398917027,0.0292317769257644,1.95561506319046e-05,0.000714365606758019,0.00326745550596052,0.0120482475875269,0.0815694060485504,1.00615485901615,14725,0,1,"n_densityk[8,3,1]",8,"3",1,"REKN","1.1",0,67
"43",0.0181557339478078,0.0320814389750132,3.20117385853392e-05,0.00125997284109888,0.00600148201930896,0.0209490866486353,0.108290908884865,1.00011306192987,15000,0,1,"n_densityk[9,3,1]",9,"3",1,"REPH","1.1",0,67
"44",0.0233743277479749,0.0420707085751334,7.90327020882584e-05,0.00214721295779088,0.00841959921823691,0.0260476811502371,0.138867057461409,1.00088555862097,8339,0,1,"n_densityk[10,3,1]",10,"3",1,"RNPH","1.1",0,67
"45",0.0211155858275755,0.0589625404251683,3.09106854944177e-05,0.00111953781699444,0.00514786825496456,0.0187666209491882,0.142903149780008,1.00335869150336,15000,0,1,"n_densityk[11,3,1]",11,"3",1,"RUTU","1.1",0,67
"46",0.0610719120995341,0.0975614864748387,0.000992653031898972,0.0115410631807665,0.03036969586671,0.0711566358153478,0.304478798236826,1.00596018320521,3913,0,1,"n_densityk[12,3,1]",12,"3",1,"SAND","1.1",0,67
"47",0.419927021193171,0.360138995969849,0.0730306469855227,0.195399751116113,0.321709195362995,0.526037666086038,1.34761217158767,1.00121724930724,7000,0,1,"n_densityk[13,3,1]",13,"3",1,"SEPL","1.1",0.621890547263682,67
"48",0.974616985247109,0.39546214991329,0.411300799229316,0.692739963836435,0.906287262886655,1.17962311385518,1.93636348197196,1.00013647687527,13468,0,1,"n_densityk[14,3,1]",14,"3",1,"SESA","1.1",2.48756218905473,67
"49",0.0255118980234758,0.0442517378745416,0.000149045385118308,0.00309754048596887,0.0102126600796203,0.0293953387213643,0.141059575312248,1.0002309388982,15000,0,1,"n_densityk[15,3,1]",15,"3",1,"STSA","1.1",0,67
"50",0.266852581458903,0.167891766539167,0.0609263080000772,0.148418951509794,0.227214839718624,0.3426912436019,0.690317279909325,0.999973215683004,15000,0,1,"n_densityk[16,3,1]",16,"3",1,"WISN","1.1",0.746268656716418,67
"51",0.485750247066118,0.290059121924578,0.124288813336715,0.282183336744133,0.421551759777077,0.615971545180516,1.20715091527648,1.0004018605585,4160,0,1,"n_densityk[17,3,1]",17,"3",1,"WRSA","1.1",0.746268656716418,67
