"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node"
"n_uncor[4,2,6]",0.265184223479066,2.08313537574363,4.19995298107048e-05,0.00390719580836065,0.025558253632396,0.130475510773028,1.87422635404737,1.13369420829887,4138,0,1,"n_uncor[4,2,6]"
"n_uncor[5,2,6]",1.01904775309805,1.69416930865164,0.0181081893472332,0.173112186821326,0.480344713678166,1.16918372556768,5.32660246620697,1.00273809730029,6595,0,1,"n_uncor[5,2,6]"
"n_uncor[6,2,6]",0.227303063017301,0.658143026736857,3.13817284794954e-05,0.00455096259433435,0.0359333878112962,0.179742465530492,1.595356214161,1.00177152402034,15000,0,1,"n_uncor[6,2,6]"
"n_uncor[7,2,6]",0.161562195225069,0.812323013285323,3.11173748003389e-06,0.000821770498526703,0.00863063372616662,0.0639216342871944,1.31892581025168,1.02332591035326,6566,0,1,"n_uncor[7,2,6]"
"n_uncor[8,2,6]",0.773283215015759,4.66429752464937,1.59265376431669e-05,0.00398252661076002,0.0381723695759004,0.258354120283799,5.96188107824379,1.00968880286528,2033,0,1,"n_uncor[8,2,6]"
"n_uncor[9,2,6]",0.238186282646314,1.1399920644586,2.59359714301382e-05,0.00363596031844366,0.0241581923854906,0.124171958624472,1.70450619096049,1.02728768191183,7773,0,1,"n_uncor[9,2,6]"
"n_uncor[10,2,6]",5.03748974350555,5.12303042045241,0.681861583000357,2.02104815082647,3.55994265814476,6.19350617855784,18.102571401747,1.00445250969343,784,0,1,"n_uncor[10,2,6]"
"n_uncor[11,2,6]",0.212217525920119,0.605685802946672,8.27053144017823e-05,0.00689392932304835,0.0372554999028609,0.165355821239098,1.58772979205742,1.00603427841366,4334,0,1,"n_uncor[11,2,6]"
"n_uncor[12,2,6]",0.0296498541346141,0.104226162201261,8.8741447697361e-06,0.000628439831198736,0.00365267898781966,0.0181721492211534,0.236650302004261,1.01495838829061,5771,0,1,"n_uncor[12,2,6]"
"n_uncor[13,2,6]",2.43222481548253,3.44681693524146,0.107520950933622,0.586135325538825,1.34078909590125,2.93355235108827,11.0800774508616,1.00285595314835,1168,0,1,"n_uncor[13,2,6]"
"n_uncor[1,3,6]",1.01240980316433,1.58387189041433,0.0520111655492979,0.258581891525661,0.547245159602347,1.17584458325312,4.67273749725036,1.00650967382778,1057,0,1,"n_uncor[1,3,6]"
"n_uncor[2,3,6]",0.245707432780968,1.00155840682411,0.000115382173107806,0.00649722618454156,0.0347612233934815,0.151549853304288,1.95108290123098,1.016539707729,14054,0,1,"n_uncor[2,3,6]"
"n_uncor[3,3,6]",2.34201034050597,4.32981971305645,0.0814489466487176,0.461765718549996,1.086080332376,2.51826946127715,12.4062403864177,1.02260356879579,1635,0,1,"n_uncor[3,3,6]"
"n_uncor[4,3,6]",0.39122568494525,3.3499394261492,7.11176329470274e-05,0.00554939877329891,0.0326670857454852,0.152996550741637,2.39678058028102,1.05663542445042,2958,0,1,"n_uncor[4,3,6]"
"n_uncor[5,3,6]",1.08165330980921,2.47733538344305,0.0147459735867445,0.147506847670723,0.416690567700854,1.09369781990933,6.30341083465879,1.0034879884326,14470,0,1,"n_uncor[5,3,6]"
"n_uncor[6,3,6]",3.37700481097978,4.75378874386397,0.119707570210355,0.770388716726572,1.82375954769314,4.02556970048146,16.205128251123,1.0132216691829,321,0,1,"n_uncor[6,3,6]"
"n_uncor[7,3,6]",0.34315688832441,1.81792146757359,6.19215625931203e-06,0.00175419873771633,0.0176284249418707,0.128437898105368,2.64649544209726,1.0048109256282,15000,0,1,"n_uncor[7,3,6]"
"n_uncor[8,3,6]",0.99882577262788,11.6751784639933,6.32642154374694e-06,0.0018569681499608,0.0209110004791444,0.177434437507122,5.59120612416841,1.1131936822224,3915,0,1,"n_uncor[8,3,6]"
"n_uncor[9,3,6]",0.273375134270377,1.60912803052103,1.72574657694706e-05,0.0028281462250029,0.0195587577938236,0.106657143348719,1.95018556638412,1.04718077497731,15000,0,1,"n_uncor[9,3,6]"
"n_uncor[10,3,6]",2.69035784661854,3.7757607868477,0.159775896910823,0.742468489709786,1.55306693253819,3.22309005312357,11.8284854126102,1.00730749418959,965,0,1,"n_uncor[10,3,6]"
"n_uncor[11,3,6]",0.160516791412383,0.750654388614172,2.03942286265999e-05,0.0022973060310457,0.0157023057452304,0.0818382186508273,1.22186337494993,1.01814733292504,3029,0,1,"n_uncor[11,3,6]"
"n_uncor[12,3,6]",0.128428091139128,0.351540532700631,0.000134808526290072,0.00596889871330825,0.0287260896617407,0.108709929133635,0.890565707606608,1.00221093354997,15000,0,1,"n_uncor[12,3,6]"
"n_uncor[13,3,6]",0.649776545322957,1.65621161514274,0.000783095938561114,0.0315224397595223,0.149401593429051,0.56051813472759,4.59578980031484,1.00071631173015,15000,0,1,"n_uncor[13,3,6]"
"n_uncor[1,1,7]",1.04464242924375,0.53597804404916,0.345976254800282,0.673413204729668,0.934313934453212,1.28636070077213,2.36962791630117,1.02115270192162,171,0,1,"n_uncor[1,1,7]"
"n_uncor[2,1,7]",0.0295092255680478,0.0573490127197313,6.78153944941212e-05,0.00290917768607527,0.0107137303385864,0.0329345654042737,0.168206747915366,1.00329201251671,2329,0,1,"n_uncor[2,1,7]"
"n_uncor[3,1,7]",0.573035234570407,0.367880991662924,0.147002887636852,0.323561542325115,0.484151457488552,0.718525742343447,1.53009715833403,1.01001123671512,308,0,1,"n_uncor[3,1,7]"
"n_uncor[4,1,7]",0.0505116921405054,0.134971360335892,7.43543416506761e-05,0.00354157987570708,0.0150665733279105,0.0484023864405903,0.318446274041958,1.05104811028273,1049,0,1,"n_uncor[4,1,7]"
"n_uncor[5,1,7]",1.2947386481685,0.799393516556575,0.364162315814184,0.762301130891433,1.10149502701284,1.60237159425715,3.31015240019025,1.0047676222966,592,0,1,"n_uncor[5,1,7]"
"n_uncor[6,1,7]",2.10953600165492,0.866592046284835,0.889384637398233,1.49829974011003,1.95484225837674,2.5434010292695,4.24334700147579,1.00390413636989,618,0,1,"n_uncor[6,1,7]"
"n_uncor[7,1,7]",0.125578449927618,0.162974063192518,0.00391211961591238,0.0312726931394316,0.0729678937458875,0.156653917021067,0.562404239271278,1.00459624096773,2144,0,1,"n_uncor[7,1,7]"
"n_uncor[8,1,7]",0.238124047524671,0.502229032229977,0.0063860035440058,0.0450377436941684,0.10958701825728,0.255384680702222,1.23997315304238,1.040683538246,931,0,1,"n_uncor[8,1,7]"
"n_uncor[9,1,7]",0.512070855144699,0.549951766812387,0.0789844841151457,0.222958136370834,0.373700170485484,0.619301634313663,1.75516703485631,1.01264023602908,1695,0,1,"n_uncor[9,1,7]"
"n_uncor[10,1,7]",1.83403313347994,0.784277187326762,0.7497677632923,1.28256254463794,1.68905327559727,2.22051704583472,3.78390508417884,1.00477141304183,844,0,1,"n_uncor[10,1,7]"
"n_uncor[11,1,7]",0.10383467513786,0.132153719187326,0.00458487398119214,0.0305655990359487,0.0667502877159977,0.134190826376561,0.413127661916902,1.02331200601713,5496,0,1,"n_uncor[11,1,7]"
"n_uncor[12,1,7]",0.0224659369188276,0.0353489147535399,8.49831181527621e-05,0.00285991880570448,0.0100650385969217,0.0272524899931388,0.119866306774384,1.00429747090027,3208,0,1,"n_uncor[12,1,7]"
"n_uncor[13,1,7]",3.95824947398449,1.69605471696246,1.66295875944212,2.77730603754852,3.64092869460207,4.79570360384299,8.11219410719073,1.00198595550296,1147,0,1,"n_uncor[13,1,7]"
"n_uncor[1,2,7]",3.02792041810405,2.69159731466062,0.498797577211217,1.38122913426249,2.27173163326207,3.79070754815063,9.95011905365781,1.00625889410826,1575,0,1,"n_uncor[1,2,7]"
"n_uncor[2,2,7]",0.127908343008617,0.615009865093095,8.00484666955652e-05,0.00478406764228606,0.0250554143614911,0.0967015434952941,0.887830120793486,1.18372408692656,3118,0,1,"n_uncor[2,2,7]"
"n_uncor[3,2,7]",0.790925759586927,1.17843001458503,0.0276090088509947,0.184310970773069,0.429393429820356,0.917875599365863,3.78430177609008,1.00424480605009,1196,0,1,"n_uncor[3,2,7]"
"n_uncor[4,2,7]",0.212316991712959,1.19620479410608,3.1367932186238e-05,0.00346380304458494,0.022089966970391,0.107561766985294,1.55161582219252,1.10363373727363,1407,0,1,"n_uncor[4,2,7]"
"n_uncor[5,2,7]",0.750666754688639,1.21007594541648,0.015945978917605,0.142399590632207,0.36862936395853,0.871522670645132,3.74072328146891,1.00071548448081,15000,0,1,"n_uncor[5,2,7]"
"n_uncor[6,2,7]",1.42278276704472,1.52267860666893,0.123814766196632,0.480564689517761,0.956216461746847,1.8047514867205,5.4460296471412,1.0041361930276,519,0,1,"n_uncor[6,2,7]"
"n_uncor[7,2,7]",0.0764738180394347,0.323122654175518,2.2910553341652e-06,0.000646851686910093,0.00605587423545508,0.0392528673890795,0.659189525820559,1.04802170317502,5964,0,1,"n_uncor[7,2,7]"
"n_uncor[8,2,7]",0.463260522707584,3.34139280004764,1.36804885971149e-05,0.00324875947322001,0.0288641987805315,0.174627495652999,3.31003510799741,1.13512340244531,4543,0,1,"n_uncor[8,2,7]"
"n_uncor[9,2,7]",1.3850264039878,3.79622612479908,0.0317952512544366,0.220269260354709,0.552255197681403,1.34170520410612,7.78024400157359,1.04983361418863,2549,0,1,"n_uncor[9,2,7]"
"n_uncor[10,2,7]",1.51576767057593,1.3596715703961,0.213727137026454,0.640967284937263,1.12675291419608,1.91874969545932,5.05694536866108,1.00540900603428,777,0,1,"n_uncor[10,2,7]"
"n_uncor[11,2,7]",0.142140899249665,0.36844748411601,6.38004763030845e-05,0.00563462699228728,0.0313216920668671,0.126833911533636,0.988849740984985,1.02692679419856,1432,0,1,"n_uncor[11,2,7]"
"n_uncor[12,2,7]",0.0242859191840252,0.0762177447208582,1.01878027715452e-05,0.000612177380559915,0.00351407487359671,0.0160309575296978,0.184775922985563,1.00086667076281,11709,0,1,"n_uncor[12,2,7]"
"n_uncor[13,2,7]",2.77790853656578,2.80947984431249,0.320672525728221,1.08210060771764,1.95492929407881,3.47567711393842,10.1263444149267,1.0040017478698,5261,0,1,"n_uncor[13,2,7]"
"n_uncor[1,3,7]",1.86518825950831,2.383308562743,0.165646326674595,0.615159299728515,1.17331688105146,2.22176085694291,7.77681789697855,1.00877260421969,1029,0,1,"n_uncor[1,3,7]"
"n_uncor[2,3,7]",0.245493439737423,1.56840868097002,0.000113549262720298,0.00617032460484346,0.0320600306177784,0.135453534076706,1.65087825154288,1.07328618907987,11395,0,1,"n_uncor[2,3,7]"
"n_uncor[3,3,7]",2.45481384318667,4.53397468657439,0.0984612716002276,0.518085462785305,1.18850262036522,2.65391162620673,12.5154747369455,1.03022941153018,880,0,1,"n_uncor[3,3,7]"
"n_uncor[4,3,7]",0.450977380332877,4.10512201374623,7.12888637431807e-05,0.00543278867573117,0.0331144208056013,0.161098407806263,2.7901248388587,1.11188649166691,3054,0,1,"n_uncor[4,3,7]"
"n_uncor[5,3,7]",1.04984508217394,2.50004214678294,0.0143745526045727,0.139615671506859,0.392574268297142,1.04551448388882,6.31791245565836,1.01236695295692,5750,0,1,"n_uncor[5,3,7]"
"n_uncor[6,3,7]",3.81730971240666,6.13768010650946,0.172772840951646,0.918911071662052,2.07244690845486,4.43501976547,17.8933256162715,1.03502213187944,446,0,1,"n_uncor[6,3,7]"
"n_uncor[7,3,7]",0.371990903084952,3.46084537859334,5.68291252644974e-06,0.00158645349106443,0.0158680828217582,0.118418027387292,2.72059297551584,1.21268822202144,5639,0,1,"n_uncor[7,3,7]"
"n_uncor[8,3,7]",1.24868223514015,32.3507831408483,5.9150690923611e-06,0.00191863190045731,0.0205243693664738,0.156604156223059,5.16175859915877,1.27137780711742,4421,0,1,"n_uncor[8,3,7]"
"n_uncor[9,3,7]",0.260210165690078,3.1459279899566,1.6703370024368e-05,0.00269174542205479,0.0187394923172522,0.104114892168262,1.76324310522044,1.23421466973603,15000,0,1,"n_uncor[9,3,7]"
"n_uncor[10,3,7]",2.92585453109342,3.50188371299646,0.271806287058124,0.963542662510324,1.85475430636071,3.52871090100966,12.0717379175501,1.00564732576992,15000,0,1,"n_uncor[10,3,7]"
"n_uncor[11,3,7]",0.140361602350448,0.525407652844392,2.22906592983956e-05,0.00216530054183859,0.0148072930374606,0.077037437316759,1.09486298840013,1.02793239140293,1812,0,1,"n_uncor[11,3,7]"
"n_uncor[12,3,7]",0.124232831193998,0.332898228751729,0.00011325415116494,0.00621400881144622,0.0285078938715633,0.103276883012166,0.871989649416499,1.00634713712757,10061,0,1,"n_uncor[12,3,7]"
"n_uncor[13,3,7]",7.30521399251599,15.7490402437421,0.387132248041796,1.75724195562303,3.75957448867073,7.85442707302101,33.7071421628508,1.12250691124339,631,0,1,"n_uncor[13,3,7]"
"n_uncor[1,1,8]",0.58371344966585,0.426883761761243,0.120608395901947,0.301310997073772,0.472432397235237,0.738500933807699,1.6830452016134,1.01279046047965,310,0,1,"n_uncor[1,1,8]"
"n_uncor[2,1,8]",0.0505461794047541,0.119913020280926,9.08699346746149e-05,0.0036031286790945,0.0154282811869692,0.0491126594270503,0.316799066734332,1.0062572747746,8308,0,1,"n_uncor[2,1,8]"
"n_uncor[3,1,8]",2.09017864549999,1.41446347304391,0.518874384335139,1.1568816950799,1.72605440568841,2.60322287505077,5.82057809882445,1.01340428811217,335,0,1,"n_uncor[3,1,8]"
"n_uncor[4,1,8]",0.783496412742584,1.18700679554936,0.0576300207849187,0.228286490540666,0.457774044476981,0.889223324724357,3.49948085890206,1.04016943861385,395,0,1,"n_uncor[4,1,8]"
"n_uncor[5,1,8]",7.96411162405089,4.94365710431795,2.32477446692043,4.68171646849888,6.77732522514034,9.82845339973345,20.8387080683114,1.00148712412272,2296,0,1,"n_uncor[5,1,8]"
"n_uncor[6,1,8]",1.79171552646027,1.0097452439098,0.526118166374664,1.09126062982678,1.56879266268928,2.2505653172363,4.34571766096867,1.00935411356053,309,0,1,"n_uncor[6,1,8]"
"n_uncor[7,1,8]",1.4597768511123,1.44499649918717,0.210401732751412,0.595050983033675,1.04403303038137,1.81639304348575,5.08320461002269,1.0286723493575,152,0,1,"n_uncor[7,1,8]"
"n_uncor[8,1,8]",0.099881990523982,0.422896961741642,1.00458360042196e-05,0.00153432178993769,0.011428435790209,0.0571689284172797,0.738976378704023,1.10480300960363,467,0,1,"n_uncor[8,1,8]"
"n_uncor[9,1,8]",0.047683655800756,0.153490916016567,9.75280107299495e-06,0.00153016584117119,0.00909292789210254,0.038112814442438,0.328696513904982,1.01141867756688,15000,0,1,"n_uncor[9,1,8]"
"n_uncor[10,1,8]",0.920844141393991,0.62743786675733,0.220847840538064,0.499935877668268,0.760717361740258,1.14970061653233,2.58441693266496,1.00982631221844,595,0,1,"n_uncor[10,1,8]"
"n_uncor[11,1,8]",0.0571426170363116,0.116471899488713,6.25299851419937e-05,0.00375860337185357,0.0176243580030334,0.0599797351439532,0.354566547525746,1.00525360493021,2950,0,1,"n_uncor[11,1,8]"
"n_uncor[12,1,8]",0.168017910149719,0.164621593445996,0.0148210485730453,0.0630773579008195,0.118793838455427,0.219135589871849,0.597582999364673,1.00166604563854,2156,0,1,"n_uncor[12,1,8]"
"n_uncor[13,1,8]",0.0824497932684914,0.136025857672411,0.000399697764897278,0.00972602774076456,0.0348711943545493,0.0973506931977082,0.452422010394348,1.00167310702017,2966,0,1,"n_uncor[13,1,8]"
"n_uncor[1,2,8]",0.971664858961196,0.524494566126756,0.315637468469895,0.604216696564087,0.85990159325749,1.2044793402145,2.28926193826421,1.02198760988326,128,0,1,"n_uncor[1,2,8]"
"n_uncor[2,2,8]",0.0286161212977685,0.0560736669076163,5.95151023106106e-05,0.00233459877599636,0.00972429343390528,0.0313797897130936,0.173043408108508,1.00357403232321,3887,0,1,"n_uncor[2,2,8]"
"n_uncor[3,2,8]",0.712212005641756,0.448897601514013,0.193009105288619,0.407557599721295,0.605113375372578,0.894431037513125,1.86356284856398,1.00610511276714,435,0,1,"n_uncor[3,2,8]"
"n_uncor[4,2,8]",3.23103183428345,4.67079541185909,0.397589484047223,1.09987922493782,1.92233817898742,3.63873972642934,13.8894982722777,1.10573370233101,127,0,1,"n_uncor[4,2,8]"
"n_uncor[5,2,8]",2.8368865363152,1.51332692235654,0.979070159024727,1.8070579369004,2.49935534680294,3.50324956905091,6.67044288901356,1.00302110345754,1329,0,1,"n_uncor[5,2,8]"
"n_uncor[6,2,8]",0.195509935107056,0.145442198301815,0.0292653789013636,0.0941988914893623,0.159576804501527,0.254911196188659,0.567826633731588,1.00032593906237,15000,0,1,"n_uncor[6,2,8]"
"n_uncor[7,2,8]",0.243743361093648,0.247114375230365,0.0239445550306321,0.0914364330025394,0.171216031086424,0.311831347941327,0.886718512226202,1.00624678588392,526,0,1,"n_uncor[7,2,8]"
"n_uncor[8,2,8]",0.0398700501576511,0.122871955472825,6.87978943358279e-06,0.0011100362124257,0.00727209829418731,0.0326202254063235,0.277629518225878,1.00663325247904,8753,0,1,"n_uncor[8,2,8]"
"n_uncor[9,2,8]",0.112359599976485,0.354170742405501,0.00294018142113616,0.0240603076885197,0.0576874701770588,0.129698577079266,0.530249007952568,1.2038475128217,15000,0,1,"n_uncor[9,2,8]"
"n_uncor[10,2,8]",0.653781314651557,0.341463054615104,0.211578485266162,0.417358608309264,0.582667415439577,0.810084667915825,1.51334644762092,1.00405774140749,628,0,1,"n_uncor[10,2,8]"
"n_uncor[11,2,8]",0.506665168940917,0.374842158860615,0.109159487613588,0.261517172745216,0.407335329306274,0.633730084270032,1.51706853007464,1.01005311156271,442,0,1,"n_uncor[11,2,8]"
"n_uncor[12,2,8]",0.0363432170701767,0.0470103810210061,0.000735992268445212,0.00762710165773612,0.0201605153607281,0.0466143860940641,0.167704576701972,1.00513688150997,1268,0,1,"n_uncor[12,2,8]"
"n_uncor[13,2,8]",0.319583997972771,0.232366584779212,0.0549215045279028,0.160321487678591,0.261808741484381,0.41370101368689,0.905822906266417,1.00201056878002,3915,0,1,"n_uncor[13,2,8]"
"n_uncor[1,3,8]",0.939560055717353,1.10725950929871,0.0787073946920869,0.308222023003172,0.603404660039921,1.15821185617512,3.82683502805186,1.00488860840948,1208,0,1,"n_uncor[1,3,8]"
"n_uncor[2,3,8]",0.163151877202528,0.58413712214648,9.35161034689028e-05,0.00545151767803446,0.0274135081941392,0.113658362428875,1.1587258814382,1.01946383374197,3047,0,1,"n_uncor[2,3,8]"
"n_uncor[3,3,8]",0.251463706390149,0.620742731489212,0.000889682988564954,0.0206899963824461,0.0740053942270504,0.234261956428594,1.56506274931067,1.00310038414231,5320,0,1,"n_uncor[3,3,8]"
