"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","j_sub_region","species","Region"
"132",5797.22385874285,15545.9363363137,86.8831666860654,749.155342578112,2021.51606807588,5335.49382863809,33736.0186989269,1.01794302185565,4122,0,1,"Nr[13,8]",13,8,"SEPL","4.1"
"133",373289.279929065,280206.671168445,97223.8813375931,201061.864472772,299811.29190453,451636.199768985,1097128.89138473,1.00035967045653,5617,0,1,"Nr[14,8]",14,8,"SESA","4.1"
"134",4499.44490745115,9822.82319479769,105.190282213056,747.29015129127,1867.79541496343,4597.12281904332,25538.7171080237,1.00422759231829,15000,0,1,"Nr[15,8]",15,8,"STSA","4.1"
"135",1539.02425039338,3041.70782419748,33.063542690963,242.747450706554,654.940161048256,1619.74879446629,8826.31077173369,1.00216601227325,15000,0,1,"Nr[16,8]",16,8,"WISN","4.1"
"136",154624.932031258,121391.64794921,40367.3529157138,83501.1993117585,123477.716291885,187040.345825482,452059.731869855,1.00030434531817,6551,0,1,"Nr[17,8]",17,8,"WRSA","4.1"
"137",6230.86573730673,4757.45391102248,1410.54455957247,3263.55315515286,4978.36358219353,7765.29347297558,18236.4594070138,1.00022102937645,7382,0,1,"Nr[1,9]",1,9,"AMGP","4.2"
"138",2891.0277011735,7363.77968425482,95.3155721159044,544.138286582799,1258.21873256833,2913.08175791188,15902.3432527448,1.05797858110266,15000,0,1,"Nr[2,9]",2,9,"BASA","4.2"
"139",4280.23565097638,4883.16797918355,654.983915294211,1832.32328133668,3076.89077487085,5176.79909162895,15044.9223006992,1.01386245840953,4685,0,1,"Nr[3,9]",3,9,"BBPL","4.2"
"140",815.561084173743,2538.76636861861,11.6095631315595,101.317378389694,284.13415597196,749.930126385811,4684.54071833667,1.05968753887295,5982,0,1,"Nr[4,9]",4,9,"BBSA","4.2"
"141",33540.9694382685,22817.1895767061,9752.85649097413,19174.8107185838,27738.9157296625,40823.9213856166,90452.241166896,1.0033991218683,5691,0,1,"Nr[5,9]",5,9,"DUNL","4.2"
"142",1438.17582743308,3426.70797511299,34.6168518990844,241.109475718294,590.555162494797,1414.09703372547,8453.89010566765,1.00698849495457,15000,0,1,"Nr[6,9]",6,9,"LESA","4.2"
"143",4071.5277716052,6888.03054423161,242.352127749974,1084.51738608326,2245.10990192992,4568.53946193798,18401.7758747608,1.01373509776628,3933,0,1,"Nr[7,9]",7,9,"PESA","4.2"
"144",414.163143484152,1116.6572569017,4.18388973622677,47.1772346567688,137.585514087963,388.012525344759,2481.45878552939,1.00918483708453,15000,0,1,"Nr[8,9]",8,9,"REKN","4.2"
"145",78259.6377255092,35022.9324480792,31363.0576337868,53592.0550111373,71136.653712712,95219.0460570511,165419.643145655,1.00060638990099,4615,0,1,"Nr[9,9]",9,9,"REPH","4.2"
