"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","habitat","j_sub_region","species","Region"
"322",215.884561945756,424.292613151769,0.738111990541119,18.4042522979754,70.1536781280308,223.82009077664,1333.53279841837,1.00027119077449,15000,0,1,"n[16,1,7]",16,"1",7,"WISN","3.2"
"323",234679.883860614,104425.005182041,97433.6649712749,161927.961741383,213141.721458388,283508.382335575,500441.088140515,1.00116100607834,2311,0,1,"n[17,1,7]",17,"1",7,"WRSA","3.2"
"324",541.945229103769,881.163546830065,13.4877996610326,104.406246455044,269.362214536037,637.684829881052,2690.60298590236,1.00605439172764,4205,0,1,"n[1,2,7]",1,"2",7,"AMGP","3.2"
"325",690.876425227875,2544.62237937091,2.41020822534058,44.5638162679431,169.995181501247,552.741088483633,4677.70106199756,1.00387415696907,15000,0,1,"n[2,2,7]",2,"2",7,"BASA","3.2"
"326",221.689037230171,726.18435346801,0.465631109455367,10.6173363735923,45.9627627941749,174.351847174647,1539.71441767864,1.02246760218938,9713,0,1,"n[3,2,7]",3,"2",7,"BBPL","3.2"
"327",211.693277653773,890.807678487518,0.149068087768234,5.63248770188163,28.6248574793554,127.524691118398,1574.57668337138,1.01251228708729,10978,0,1,"n[4,2,7]",4,"2",7,"BBSA","3.2"
"328",7584.60679292784,9059.63354892495,734.921274701589,2565.21677219501,4846.2345737972,9145.68727847512,31355.5136188345,1.0007918913456,13254,0,1,"n[5,2,7]",5,"2",7,"DUNL","3.2"
"329",295.827044451527,951.127098880497,0.409821739505509,12.4652534287378,56.0896008562607,216.984690793916,2124.54524100491,1.00112620182729,15000,0,1,"n[6,2,7]",6,"2",7,"LESA","3.2"
"330",843.239356358929,1671.50209824084,6.26211283234995,89.4715729583184,300.407901721407,877.021367970518,5132.31115751566,1.00437553937724,5756,0,1,"n[7,2,7]",7,"2",7,"PESA","3.2"
"331",69.7126675818225,283.942848691779,0.0428100239779876,1.7272464634396,9.34552770214702,43.8161380949296,527.787042798598,1.07649500068073,3404,0,1,"n[8,2,7]",8,"2",7,"REKN","3.2"
"332",129176.214169799,90757.2315033019,32536.2868563826,70417.6646821594,105775.314910309,159497.711104674,364603.590748109,1.00070699324939,15000,0,1,"n[9,2,7]",9,"2",7,"REPH","3.2"
"333",289.362783018146,1016.95585028257,0.20402400549311,7.3657022610371,41.2231126634913,190.950716982923,2177.65802245913,1.01371829770031,15000,0,1,"n[10,2,7]",10,"2",7,"RNPH","3.2"
"334",308.013672607406,1633.84112854186,0.0923428201026173,5.11726610033242,31.6547705537073,159.901365329269,2278.45690646307,1.04168208349363,15000,0,1,"n[11,2,7]",11,"2",7,"RUTU","3.2"
"335",343.095283894783,1059.11567998135,2.32177334446432,31.104639875704,100.202677334584,290.558490715984,2126.25554036996,1.06309114695123,3073,0,1,"n[12,2,7]",12,"2",7,"SAND","3.2"
"336",259.032214918241,934.803881659699,0.26853575780368,8.7037660424741,43.6673061883904,173.632798839608,1897.83412588971,1.01652574934463,15000,0,1,"n[13,2,7]",13,"2",7,"SEPL","3.2"
"337",494.141867324227,913.292824258578,5.63999794741154,68.8692355655559,204.094623864265,549.683241796136,2717.7088650006,1.00905063194233,15000,0,1,"n[14,2,7]",14,"2",7,"SESA","3.2"
"338",228.078640044721,697.347806501033,0.520920519636552,12.4516463495826,50.6629552220103,187.417030712688,1546.49347852087,1.04276540522195,4915,0,1,"n[15,2,7]",15,"2",7,"STSA","3.2"
"339",65.3726062602722,223.849817891268,0.0705504804818445,2.18800768069724,10.5488100435832,43.926250586319,478.980642683995,1.00127289238983,15000,0,1,"n[16,2,7]",16,"2",7,"WISN","3.2"
"340",124823.916742494,99229.4960017495,30501.1458091938,64650.7006156627,98760.4242982295,152424.814503141,377503.034402433,1.00262245791265,1999,0,1,"n[17,2,7]",17,"2",7,"WRSA","3.2"
"341",20649.9669997278,16652.8691142528,3656.33832558389,9911.58698588077,15968.824191094,26000.8390637324,65069.4641745701,1.00191123332314,1565,0,1,"n[1,3,7]",1,"3",7,"AMGP","3.2"
"342",3250.63198921742,7972.71029872201,20.5644248596842,305.473434660949,1032.98804212226,3127.01756740719,20066.9108414839,1.00989659183046,15000,0,1,"n[2,3,7]",2,"3",7,"BASA","3.2"
"343",10658.0531811146,12625.5845228373,912.115450712907,3546.69323312531,6862.28553662747,13108.0403183336,43208.1028756387,1.00351576743252,2705,0,1,"n[3,3,7]",3,"3",7,"BBPL","3.2"
"344",840.257281072783,2574.23404555086,0.910217648101739,33.0435029675898,155.467878477152,621.998971888574,5866.99963698086,1.00104576331988,15000,0,1,"n[4,3,7]",4,"3",7,"BBSA","3.2"
"345",30527.7548205112,22461.1161792293,6378.17042004057,15761.4809744665,24742.3572069368,38341.3850519932,89293.0847745712,1.00003602170213,15000,0,1,"n[5,3,7]",5,"3",7,"DUNL","3.2"
"346",1579.64494496751,3870.09328383443,4.55890290615573,109.573246962663,438.298090064481,1468.86813311607,10616.7273683753,1.00407916359137,15000,0,1,"n[6,3,7]",6,"3",7,"LESA","3.2"
"347",9143.26871590411,11437.2432090265,445.269433239589,2474.58537033244,5534.29612093711,11360.4889985985,39266.621879887,1.00110994817354,15000,0,1,"n[7,3,7]",7,"3",7,"PESA","3.2"
"348",3202.75851137361,5512.18924092193,55.3136681344787,540.886145997085,1477.17927262882,3669.60065875389,16747.6439470356,1.00188087430763,4679,0,1,"n[8,3,7]",8,"3",7,"REKN","3.2"
"349",359481.773565831,141852.840062452,162813.572720237,259593.257741512,332205.830151499,430713.398377231,706973.988423981,1.00081760755766,5836,0,1,"n[9,3,7]",9,"3",7,"REPH","3.2"
"350",1340.41077781686,3257.3294288106,2.08111771409698,68.3455812664134,318.898987198772,1230.11698211671,9097.5363262628,0.999985500027157,15000,0,1,"n[10,3,7]",10,"3",7,"RNPH","3.2"
